"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2013","Spain","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Spain","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Spain","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Spain","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Spain","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Spain","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","France","Total","Males","Less than 18 years","Asylum applicant","Person","7,710"
"2013","France","Total","Males","From 18 to 34 years","Asylum applicant","Person","23,155"
"2013","France","Total","Males","From 35 to 64 years","Asylum applicant","Person","10,205"
"2013","France","Total","Males","65 years or over","Asylum applicant","Person","220"
"2013","France","Total","Males","Unknown","Asylum applicant","Person","5"
"2013","France","Total","Females","Less than 18 years","Asylum applicant","Person","7,160"
"2013","France","Total","Females","From 18 to 34 years","Asylum applicant","Person","11,335"
"2013","France","Total","Females","From 35 to 64 years","Asylum applicant","Person","6,145"
"2013","France","Total","Females","65 years or over","Asylum applicant","Person","330"
"2013","France","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","France","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","France","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","France","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","France","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","France","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Croatia","Total","Males","Less than 18 years","Asylum applicant","Person","95"
"2013","Croatia","Total","Males","From 18 to 34 years","Asylum applicant","Person","725"
"2013","Croatia","Total","Males","From 35 to 64 years","Asylum applicant","Person","145"
"2013","Croatia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Croatia","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Croatia","Total","Females","Less than 18 years","Asylum applicant","Person","40"
"2013","Croatia","Total","Females","From 18 to 34 years","Asylum applicant","Person","60"
"2013","Croatia","Total","Females","From 35 to 64 years","Asylum applicant","Person","15"
"2013","Croatia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Croatia","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Croatia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Croatia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Croatia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Croatia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Croatia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Italy","Total","Males","Less than 18 years","Asylum applicant","Person","1,570"
"2013","Italy","Total","Males","From 18 to 34 years","Asylum applicant","Person","18,755"
"2013","Italy","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,620"
"2013","Italy","Total","Males","65 years or over","Asylum applicant","Person","20"
"2013","Italy","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Italy","Total","Females","Less than 18 years","Asylum applicant","Person","645"
"2013","Italy","Total","Females","From 18 to 34 years","Asylum applicant","Person","2,505"
"2013","Italy","Total","Females","From 35 to 64 years","Asylum applicant","Person","490"
"2013","Italy","Total","Females","65 years or over","Asylum applicant","Person","15"
"2013","Italy","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Italy","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Italy","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Italy","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Italy","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Italy","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Cyprus","Total","Males","Less than 18 years","Asylum applicant","Person","145"
"2013","Cyprus","Total","Males","From 18 to 34 years","Asylum applicant","Person","530"
"2013","Cyprus","Total","Males","From 35 to 64 years","Asylum applicant","Person","120"
"2013","Cyprus","Total","Males","65 years or over","Asylum applicant","Person","5"
"2013","Cyprus","Total","Males","Unknown","Asylum applicant","Person","10"
"2013","Cyprus","Total","Females","Less than 18 years","Asylum applicant","Person","125"
"2013","Cyprus","Total","Females","From 18 to 34 years","Asylum applicant","Person","200"
"2013","Cyprus","Total","Females","From 35 to 64 years","Asylum applicant","Person","115"
"2013","Cyprus","Total","Females","65 years or over","Asylum applicant","Person","5"
"2013","Cyprus","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Cyprus","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Cyprus","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Cyprus","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Cyprus","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Cyprus","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Latvia","Total","Males","Less than 18 years","Asylum applicant","Person","15"
"2013","Latvia","Total","Males","From 18 to 34 years","Asylum applicant","Person","90"
"2013","Latvia","Total","Males","From 35 to 64 years","Asylum applicant","Person","55"
"2013","Latvia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Latvia","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Latvia","Total","Females","Less than 18 years","Asylum applicant","Person","10"
"2013","Latvia","Total","Females","From 18 to 34 years","Asylum applicant","Person","15"
"2013","Latvia","Total","Females","From 35 to 64 years","Asylum applicant","Person","5"
"2013","Latvia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Latvia","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Latvia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Latvia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Latvia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Latvia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Latvia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Lithuania","Total","Males","Less than 18 years","Asylum applicant","Person","25"
"2013","Lithuania","Total","Males","From 18 to 34 years","Asylum applicant","Person","220"
"2013","Lithuania","Total","Males","From 35 to 64 years","Asylum applicant","Person","80"
"2013","Lithuania","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Lithuania","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Lithuania","Total","Females","Less than 18 years","Asylum applicant","Person","35"
"2013","Lithuania","Total","Females","From 18 to 34 years","Asylum applicant","Person","25"
"2013","Lithuania","Total","Females","From 35 to 64 years","Asylum applicant","Person","15"
"2013","Lithuania","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Lithuania","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Lithuania","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Lithuania","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Lithuania","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Lithuania","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Lithuania","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Males","Less than 18 years","Asylum applicant","Person","165"
"2013","Luxembourg","Total","Males","From 18 to 34 years","Asylum applicant","Person","420"
"2013","Luxembourg","Total","Males","From 35 to 64 years","Asylum applicant","Person","175"
"2013","Luxembourg","Total","Males","65 years or over","Asylum applicant","Person","5"
"2013","Luxembourg","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Females","Less than 18 years","Asylum applicant","Person","90"
"2013","Luxembourg","Total","Females","From 18 to 34 years","Asylum applicant","Person","140"
"2013","Luxembourg","Total","Females","From 35 to 64 years","Asylum applicant","Person","70"
"2013","Luxembourg","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Luxembourg","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Hungary","Total","Males","Less than 18 years","Asylum applicant","Person","380"
"2013","Hungary","Total","Males","From 18 to 34 years","Asylum applicant","Person","10,665"
"2013","Hungary","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,540"
"2013","Hungary","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Hungary","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Hungary","Total","Females","Less than 18 years","Asylum applicant","Person","0"
"2013","Hungary","Total","Females","From 18 to 34 years","Asylum applicant","Person","510"
"2013","Hungary","Total","Females","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Hungary","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Hungary","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Hungary","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Hungary","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Hungary","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
